Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time
417,14,0,18,0,12,153,25,130,92,3285,3738
418,13,0,18,0,15,153,22,130,110,3325,3790
419,17,0,22,0,15,157,23,135,114,3164,3653
420,15,0,31,0,17,192,23,137,116,3424,3964
421,17,0,23,0,17,154,25,138,118,3530,4028
422,14,1,17,0,17,152,25,138,102,3194,3661
423,13,0,17,0,15,146,24,132,94,3243,3688
424,16,0,19,0,18,152,22,134,96,3278,3742
425,19,0,21,0,15,154,25,132,114,3355,3841
426,19,0,23,0,13,161,22,136,117,3273,3769
427,15,0,24,0,13,154,29,135,23,3521,3953
428,14,0,18,0,13,153,21,135,109,3211,3677
429,17,0,22,0,14,165,23,135,87,3248,3717
430,16,0,19,0,15,185,23,135,95,3241,3734
431,14,0,17,0,21,158,27,155,23,3268,3713
432,14,0,19,0,13,156,29,152,108,3343,3838
433,16,0,19,0,14,151,23,135,132,3141,3632
434,14,0,18,0,17,150,22,136,96,3173,3627
435,14,1,17,0,15,151,22,136,97,3396,3853
436,13,0,19,0,13,156,21,135,100,3178,3639
437,22,0,21,0,16,151,24,137,94,3191,3665
438,14,0,19,0,14,169,23,143,105,3218,3706
439,15,0,21,0,12,153,24,151,111,3223,3716
440,14,0,19,0,14,156,31,139,97,3218,3691
441,14,1,18,0,16,162,24,137,127,3182,3683
442,15,0,20,0,18,156,21,143,104,3177,3659
443,15,1,19,0,14,166,27,153,22,3390,3846
444,16,0,20,0,14,154,23,142,114,3536,4023
445,15,0,21,0,13,154,26,138,113,3172,3658
446,13,0,18,0,16,154,23,140,92,3391,3855
447,14,0,18,0,17,166,71,144,19,3241,3695
448,18,0,20,0,15,158,28,144,26,3248,3693
449,17,0,18,0,13,158,27,143,24,3296,3727
450,14,0,17,0,15,157,26,143,101,3255,3732
451,25,0,25,0,15,155,26,152,25,3275,3737
452,19,0,27,0,17,161,27,141,141,3825,4367
453,15,0,20,0,17,168,27,151,116,3701,4225
454,15,0,18,0,213,184,32,282,103,3320,4172
455,13,0,17,0,26,169,20,153,95,3180,3679
456,13,0,17,0,13,161,39,150,88,4944,5429
457,16,0,19,0,15,163,27,164,132,3583,4126
458,18,0,20,0,16,171,21,145,111,3518,4027
459,16,0,17,0,26,156,23,167,104,3389,3901
460,14,0,18,0,16,167,24,146,118,3454,3961
461,22,0,21,0,14,173,21,151,102,3202,3712
462,13,0,17,0,16,172,23,149,106,3223,3722
463,17,0,17,0,18,159,28,156,28,3501,3994
464,21,0,19,0,15,189,26,149,25,3530,4008
465,42,0,19,0,23,183,40,180,29,3759,4295
466,16,0,24,0,17,178,48,208,24,3274,3857
467,24,0,20,0,15,161,26,183,26,3239,3767
468,14,0,18,0,13,162,113,309,18,3370,4024
469,17,0,19,0,14,192,87,150,21,3305,3809
470,20,0,20,0,15,197,83,151,22,3294,3806
471,16,0,18,0,21,207,82,151,21,3713,4236
472,14,1,19,0,13,178,81,149,21,3188,3666
473,16,1,18,0,15,164,83,152,20,3271,3745
474,15,0,21,0,15,165,81,157,23,3180,3662
475,13,1,19,0,14,174,87,150,20,3247,3728
476,15,0,23,0,15,171,82,150,22,3229,3709
477,33,0,25,0,15,179,85,151,21,3271,3784
478,19,0,28,0,15,375,83,154,21,3250,3950
479,14,0,20,0,14,170,88,151,21,3298,3780
480,17,0,21,0,16,168,87,151,20,3232,3716
481,16,0,26,0,15,186,79,149,19,3198,3694
482,14,0,20,0,16,202,87,157,20,3205,3725
483,14,0,18,0,17,204,86,152,27,3335,3853
484,14,0,19,0,16,193,81,159,20,3303,3810
485,14,0,16,0,14,211,52,153,28,3321,3849
486,47,0,36,0,13,176,90,156,27,3808,4359
487,18,0,27,0,22,185,92,165,20,3802,4336
488,17,0,22,0,19,178,94,165,25,3280,3805
489,15,0,16,0,15,170,82,150,20,3228,3700
490,14,0,18,0,14,178,86,157,19,3290,3778
491,15,1,19,0,14,170,80,154,19,3308,3783
492,16,0,17,0,15,176,81,154,24,3348,3836
493,16,0,27,0,15,180,83,155,20,3268,3768
494,16,0,17,0,13,171,83,169,20,3300,3795
495,15,0,20,0,14,175,82,158,21,3516,4004
496,16,0,18,0,16,174,90,157,21,3279,3774
497,14,0,17,0,17,172,87,157,22,3439,3929
498,16,1,19,0,16,172,74,163,22,3232,3717
499,16,0,17,0,12,171,84,161,22,3279,3769
500,17,0,18,0,13,176,78,165,20,3280,3771
501,15,0,18,0,13,172,87,164,32,3153,3660
502,15,0,17,0,13,172,86,161,20,3336,3825
503,18,0,18,0,14,171,80,170,20,3318,3811
504,16,0,19,0,12,171,85,162,27,3260,3757
505,16,1,18,0,13,168,83,162,20,3338,3822
